City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,petropavlovsk-kamchatsky,53.0452,158.6483,285.48,100,75,3.0,RU,1689613153
281,areia branca,-4.9561,-37.1369,309.26,52,12,7.88,BR,1689613090
282,kapuskasing,49.4169,-82.4331,289.2,82,100,3.6,CA,1689612910
283,acapulco de juarez,16.8634,-99.8901,302.93,66,100,2.04,MX,1689613155
284,miles city,46.4083,-105.8406,297.69,46,0,4.12,US,1689613155
285,cozumel,20.5083,-86.9458,306.45,77,89,4.92,MX,1689612981
286,tazovsky,67.4667,78.7,286.79,83,94,3.36,RU,1689613156
287,linden,6.0,-58.3,306.46,47,27,2.34,GY,1689613156
288,mailani,28.2833,80.35,303.28,71,72,3.42,IN,1689613157
289,trashi yangtse,27.6116,91.498,292.69,98,100,0.54,BT,1689613157
290,virginia beach,36.8529,-75.978,307.05,73,40,3.6,US,1689612866
291,awjilah,29.1081,21.2869,311.04,17,0,5.97,LY,1689613158
292,male,4.1748,73.5089,303.12,74,75,5.14,MV,1689612954
293,araguaina,-7.1911,-48.2072,309.82,18,60,3.3,BR,1689613120
294,verkhnevilyuysk,63.4453,120.3167,286.61,99,100,2.21,RU,1689613160
295,kabansk,52.0486,106.6528,289.49,97,100,2.47,RU,1689613160
296,haiku-pauwela,20.9219,-156.3051,298.17,77,20,3.6,US,1689613161
297,tanout,14.9709,8.8879,311.91,17,22,1.32,NE,1689613162
298,prince albert,53.2001,-105.7677,291.12,68,0,4.63,CA,1689613162
299,manggar,-2.8833,108.2667,300.62,75,34,6.74,ID,1689613162
300,bairnsdale,-37.8333,147.6167,279.14,80,1,2.1,AU,1689613163
301,villaquilambre,42.6469,-5.5584,304.47,17,0,4.12,ES,1689613163
302,invercargill,-46.4,168.35,283.67,90,100,7.96,NZ,1689612974
303,ashmyany,54.425,25.9378,297.15,67,65,2.62,BY,1689613164
304,ust'-kut,56.7938,105.7672,287.37,95,60,0.52,RU,1689613165
305,lakheri,25.6667,76.1667,304.56,68,100,2.1,IN,1689613165
306,shirgaon,19.7,72.7,300.39,87,76,6.81,IN,1689613165
307,bandarbeyla,9.4942,50.8122,297.29,82,35,14.21,SO,1689613166
308,bambanglipuro,-7.95,110.2833,295.34,90,23,2.93,ID,1689613166
309,kodinar,20.7903,70.7031,301.19,83,41,6.21,IN,1689613167
310,arraial do cabo,-22.9661,-42.0278,297.13,73,20,4.12,BR,1689613167
311,vilyuchinsk,52.9306,158.4028,286.3,94,81,0.43,RU,1689613167
312,sao jose da coroa grande,-8.8978,-35.1478,299.15,74,29,5.77,BR,1689613168
313,fort knox,37.8911,-85.9636,301.48,64,67,0.45,US,1689613168
314,teluk nibung,3.001,99.8164,298.69,89,95,1.34,ID,1689613168
315,gulf shores,30.246,-87.7008,305.53,70,20,3.09,US,1689613169
316,yerofey pavlovich,53.9667,121.9667,291.02,66,86,1.68,RU,1689613169
317,tralee,52.2704,-9.7026,290.29,67,40,4.12,IE,1689613170
318,greymouth,-42.4667,171.2,283.48,93,100,2.86,NZ,1689613170
319,yelizovo,53.1873,158.3805,286.23,100,75,3.13,RU,1689613085
320,salina cruz,16.1667,-95.2,306.26,47,100,10.08,MX,1689613171
321,saint george's,12.0564,-61.7485,303.97,74,40,6.17,GD,1689612871
322,glace bay,46.1969,-59.957,298.89,87,100,8.23,CA,1689613171
323,sola,-13.8833,167.55,298.91,82,85,11.9,VU,1689613172
324,mahibadhoo,3.7833,72.9667,302.0,74,98,4.06,MV,1689613172
325,barra de santo antonio,-9.4047,-35.5072,299.75,76,31,5.5,BR,1689613172
326,songyang,34.4553,113.0281,298.16,59,70,2.14,CN,1689613173
327,las navas del marques,40.6024,-4.3345,308.29,13,26,4.88,ES,1689613173
328,xiahu,26.6106,119.9483,299.64,88,90,2.18,CN,1689613173
329,touros,-5.1989,-35.4608,301.45,63,4,7.76,BR,1689613174
330,upata,8.0086,-62.3989,304.37,48,24,3.41,VE,1689613175
331,el calafate,-50.3408,-72.2768,271.46,73,2,1.47,AR,1689613176
332,hasaki,35.7333,140.8333,299.43,91,0,0.23,JP,1689613176
333,anacapri,40.5558,14.2136,308.04,79,0,1.03,IT,1689613177
334,vila franca do campo,37.7167,-25.4333,295.38,75,90,1.76,PT,1689613177
335,hudson,40.7168,-74.0663,306.47,54,0,3.09,US,1689612941
336,kayyerkan,69.3786,87.7439,284.43,100,96,4.66,RU,1689613178
337,hadibu,12.65,54.0333,298.86,76,5,8.59,YE,1689613178
338,bodo,67.28,14.405,288.12,89,75,9.26,NO,1689613179
339,tottori,35.5,134.2333,297.89,81,56,1.95,JP,1689613061
340,belem de sao francisco,-8.7539,-38.9658,304.36,34,1,8.28,BR,1689613179
341,el dorado,38.7666,-120.5177,307.95,18,57,3.69,US,1689613180
